distance,size,num_of_rooms,floor,price
2402,230,5,2,1380000
2402,237,5,7,1422000
6660,89,4,3,205000
347,171,5,1,580000
2402,66,2,1,235000
1540,73,2,3,237000
3230,104,2,4,250000
1661,61,2,3,183000
7524,75,2,4,179000
3062,53,2,1,169000
2462,72,2,2,285000
603,50,2,0,175000
672,55,2,12,179000
2973,63,2,2,204000
4688,53,2,6,193000
347,63,2,3,204500
4593,70,2,0,185000
5302,67,2,0,190000
7014,66,2,2,178000
5678,76,2,4,218000
3230,104,2,4,250000
603,64,4,4,250000
2174,105,4,4,376488
2174,107,4,6,384480
2174,86,4,6,309343
2174,107,4,5,384480
2174,95,4,5,343260
2174,109,4,4,394380
347,106,4,2,400000
4593,64,3,1,170000
6554,71,3,4,163000
3974,61,3,1,170000
2783,70,3,2,220000
3062,58,3,1,180000
3062,64,3,3,225280
6660,70,2,4,198000
2976,57,3,1,161281
6073,75,3,7,170000
2402,54,3,5,224900
4593,57,3,1,174000
6073,75,3,3,188000
3091,62,3,1,163000
3763,70,2,1,185000
2976,207,5,5,1180000
2462,98,5,1,380000
3091,88,4,3,248800
2174,78,4,7,282060
1658,171,4,1,738888
2645,91,4,1,299937
2462,97,5,1,299000
4181,126,5,2,250000
1540,112,4,1,285000
3974,93,4,2,315000
3763,172,5,1,580000
1540,221,5,3,620000
1540,150,5,3,415000
1540,150,5,2,500000
2451,136,4,6,390000
1540,82,4,1,269000
1540,107,5,3,417000
3763,95,4,6,299000
7199,85,4,4,187000
8751,50,3,1,101500
4181,97,2,4,265000
5302,96,4,10,205000
5678,83,3,7,215000
2783,70,3,3,185000
2402,70,3,1,295000
2645,75,3,1,300000
1540,65,3,4,220000
2402,67,3,2,306000
3230,70,3,1,217000
1658,72,3,12,430000
7014,76,3,2,185000
2174,78,3,7,274225
2174,70,3,1,230000
3974,72,3,8,223900
2402,74,3,0,236800
3062,67,3,1,203280
7524,72,3,7,169000
5678,76,3,4,218000
7014,66,3,2,178000
1540,150,5,2,525000
2462,91,2,6,500000
3974,122,5,4,265000
1540,150,5,2,525000
2462,90,2,1,360000
1658,58,2,14,300000
1540,57,2,2,275000
1540,126,5,1,420000
3763,162,6,3,456000
1540,113,3,2,358000
3062,58,3,1,205000
